PS.1,PS.2,PS.3,class,type,xcoor,ycoor
216,225,234,1,grass,677880,9120625
255,255,255,1,grass,677895,9120609
250,254,255,1,grass,677903,9120596
168,165,156,2,tree,677869,9121131
168,166,150,2,tree,677637,9120667
164,166,152,2,tree,677737,9120229
186,183,188,3,building,677948,9120950
255,255,255,3,building,678179,9120493
191,189,190,3,buiding,678015,9120541
183,178,171,4,road,678060,9120890
183,180,176,4,road,677949,9120620
178,175,172,4,road,677829,9120200
180,178,181,5,residential,678017,9121009
179,175,179,5,residential,677594,9120937
190,191,203,5,residential,677617,9120273
251,255,255,1,grass,677911,9120621
245,240,245,1,grass,677923,9120612
253,255,255,1,grass,677916,9120606
234,236,238,1,grass,677916,9120588
201,207,217,1,grass,677878,9120595
255,255,255,1,grass,677880,9120608
201,200,199,1,grass,677924,9120589
164,164,150,2,tree,677857,9120628
170,166,156,2,tree,677844,9120578
169,165,152,2,tree,677806,9120258
165,164,150,2,tree,677697,9120284
166,163,152,2,tree,677675,9120722
169,178,179,2,tree,677700,9121007
170,167,156,2,tree,678215,9120789
237,235,244,3,building,678054,9121111
225,231,255,3,building,677894,9121009
255,255,255,3,building,677697,9120923
191,191,204,3,building,678032,9120800
255,255,255,3,building,678228,9120927
255,255,255,3,building,677968,9120316
231,240,255,3,building,677686,9120376
188,185,179,4,road,678087,9120941
188,184,185,4,road,678122,9120988
191,186,181,4,road,677976,9120596
182,178,171,4,road,677959,9120564
182,179,175,4,road,677832,9120250
184,183,180,4,road,677816,9120198
206,203,209,4,road,677806,9120185
183,181,177,4,road,677869,9120369
192,184,179,4,road,678100,9120935
191,188,182,4,road,678127,9120971
192,193,201,5,residential,677646,9121110
195,192,195,5,residential,677599,9120798
188,189,188,5,residential,678213,9120219
201,201,204,5,residential,678214,9120361
244,242,255,5,residential,678260,9120564
215,216,227,5,residential,678255,9120603
219,223,231,5,residential,677571,9121123
255,255,255,1,grass,677900,9120621
250,250,253,1,grass,677894,9120599
229,231,238,1,grass,677894,9120589
192,195,197,1,grass,677905,9120719
187,191,191,1,grass,677899,9120716
165,166,152,2,tree,677803,9121120
172,175,167,1,tree,677988,9121127
162,163,146,1,tree,677805,9120718
169,170,159,2,tree,677574,9120472
165,166,153,2,tree,677618,9120612
180,174,175,3,building,678029,9120434
189,188,192,3,building,677856,9120508
185,183,188,3,building,677852,9120761
175,171,163,3,building,677678,9120521
195,197,199,3,building,677895,9120871
187,186,184,4,road,678150,9120713
194,191,193,4,road,678131,9120689
189,185,183,4,road,677914,9120449
186,184,182,4,road,678048,9120865
188,185,184,4,road,678036,9120850
193,195,198,5,residential,677668,9120201
177,183,189,5,residential,677566,9120324
218,219,225,5,residential,677602,9120880
231,246,255,5,residential,677645,9121049
210,206,208,5,residential,677578,9120832
